,,,0
Android разработчик,salary_from_uniques,0.0,2
Android разработчик,salary_from_uniques,120000.0,1
Android разработчик,salary_from_uniques,90000.0,1
Android разработчик,salary_to_uniques,250000.0,1
Android разработчик,salary_to_uniques,200000.0,1
Android разработчик,salary_to_uniques,150000.0,1
Android разработчик,salary_to_uniques,80000.0,1
Android разработчик,experience_uniques,От 1 года до 3 лет,3
Android разработчик,experience_uniques,От 3 до 6 лет,1
Android разработчик,employment_uniques,Полная занятость,4
Android разработчик,schedule_uniques,Полный день,2
Android разработчик,schedule_uniques,Удаленная работа,1
Android разработчик,schedule_uniques,Гибкий график,1
Android разработчик,key_skills_uniques,Android SDK,3
Android разработчик,key_skills_uniques,Java,3
Android разработчик,key_skills_uniques,Android,3
Android разработчик,key_skills_uniques,ООП,1
Android разработчик,key_skills_uniques,Java SE,1
Android разработчик,key_skills_uniques,Java EE,1
Android разработчик,key_skills_uniques,Kotlin,1
Android разработчик,key_skills_uniques,REST,1
Android разработчик,key_skills_uniques,RXJava,1
Android разработчик,key_skills_uniques,Android studio,1
Android-разработчик,experience_uniques,От 1 года до 3 лет,2
Android-разработчик,employment_uniques,Полная занятость,2
Android-разработчик,schedule_uniques,Полный день,1
Android-разработчик,schedule_uniques,Удаленная работа,1
Android-разработчик,key_skills_uniques,Kotlin,2
Android-разработчик,key_skills_uniques,Android SDK,2
Android-разработчик,key_skills_uniques,Android,2
Android-разработчик,key_skills_uniques,Java,1
Android-разработчик,key_skills_uniques,Git,1
Android-разработчик / Kotlin,salary_from_uniques,100000.0,1
Android-разработчик / Kotlin,salary_to_uniques,120000.0,1
Android-разработчик / Kotlin,experience_uniques,От 3 до 6 лет,1
Android-разработчик / Kotlin,employment_uniques,Полная занятость,1
Android-разработчик / Kotlin,schedule_uniques,Удаленная работа,1
Android-разработчик / Kotlin,key_skills_uniques,SQL,1
Android-разработчик / Kotlin,key_skills_uniques,Rx,1
Android-разработчик / Kotlin,key_skills_uniques,Git,1
Android-разработчик / Kotlin,key_skills_uniques,Kotlin,1
Android-разработчик на Kotlin,experience_uniques,От 1 года до 3 лет,1
Android-разработчик на Kotlin,employment_uniques,Полная занятость,1
Android-разработчик на Kotlin,schedule_uniques,Удаленная работа,1
Android-разработчик на Kotlin,key_skills_uniques,Android SDK,1
Android-разработчик на Kotlin,key_skills_uniques,Android,1
Android-разработчик на Kotlin,key_skills_uniques,Git,1
Android-разработчик на Kotlin,key_skills_uniques,Kotlin,1
Artificial Intelligence Programmer/Программист искусственного интеллекта,experience_uniques,От 3 до 6 лет,1
Artificial Intelligence Programmer/Программист искусственного интеллекта,employment_uniques,Полная занятость,1
Artificial Intelligence Programmer/Программист искусственного интеллекта,schedule_uniques,Полный день,1
Artificial Intelligence Programmer/Программист искусственного интеллекта,key_skills_uniques,C/C++,1
Back-end Laravel developer,salary_from_uniques,200000.0,1
Back-end Laravel developer,salary_to_uniques,300000.0,1
Back-end Laravel developer,experience_uniques,От 3 до 6 лет,1
Back-end Laravel developer,employment_uniques,Полная занятость,1
Back-end Laravel developer,schedule_uniques,Удаленная работа,1
Back-end Laravel developer,key_skills_uniques,PHP,1
Back-end Laravel developer,key_skills_uniques,Laravel,1
Back-end developer,salary_from_uniques,25000.0,1
Back-end developer,salary_to_uniques,150000.0,1
Back-end developer,experience_uniques,Нет опыта,1
Back-end developer,employment_uniques,Проектная работа,1
Back-end developer,schedule_uniques,Удаленная работа,1
Back-end developer,key_skills_uniques,Sass,1
Back-end developer,key_skills_uniques,JavaScript,1
Back-end developer,key_skills_uniques,pug,1
Back-end developer,key_skills_uniques,Git,1
Back-end developer,key_skills_uniques,CSS3,1
Back-end developer,key_skills_uniques,Веб-программирование,1
Back-end developer,key_skills_uniques,Node.js,1
Back-end разработчик,salary_from_uniques,0.0,1
Back-end разработчик,salary_to_uniques,180000.0,1
Back-end разработчик,experience_uniques,От 1 года до 3 лет,2
Back-end разработчик,employment_uniques,Полная занятость,2
Back-end разработчик,schedule_uniques,Полный день,1
Back-end разработчик,schedule_uniques,Удаленная работа,1
Back-end разработчик,key_skills_uniques,Apache Maven,1
Back-end разработчик,key_skills_uniques,MySQL,1
Back-end разработчик,key_skills_uniques,Yii2,1
Back-end разработчик,key_skills_uniques,PostgreSQL,1
Back-end разработчик,key_skills_uniques,Git,1
Back-end разработчик,key_skills_uniques,Redis,1
Back-end разработчик,key_skills_uniques,Spring Framework,1
Back-end разработчик,key_skills_uniques,PHP,1
Back-end разработчик,key_skills_uniques,Hibernate ORM,1
Back-end разработчик,key_skills_uniques,SQL,1
Back-end разработчик,key_skills_uniques,Java,1
Back-end разработчик / Бэкенд программист (Node.js),salary_from_uniques,150000.0,1
Back-end разработчик / Бэкенд программист (Node.js),salary_to_uniques,0.0,1
Back-end разработчик / Бэкенд программист (Node.js),experience_uniques,От 3 до 6 лет,1
Back-end разработчик / Бэкенд программист (Node.js),employment_uniques,Полная занятость,1
Back-end разработчик / Бэкенд программист (Node.js),schedule_uniques,Удаленная работа,1
Back-end разработчик / Бэкенд программист (Node.js),key_skills_uniques,JavaScript,1
Back-end разработчик / Бэкенд программист (Node.js),key_skills_uniques,MySQL,1
Back-end разработчик / Бэкенд программист (Node.js),key_skills_uniques,Node.js,1
Back-end разработчик / Бэкенд программист (Node.js),key_skills_uniques,Sequelize,1
Back-end разработчик / Бэкенд программист (Node.js),key_skills_uniques,Express,1
Back-end разработчик Python / Go,salary_from_uniques,120000.0,1
Back-end разработчик Python / Go,salary_to_uniques,200000.0,1
Back-end разработчик Python / Go,experience_uniques,От 1 года до 3 лет,1
Back-end разработчик Python / Go,employment_uniques,Полная занятость,1
Back-end разработчик Python / Go,schedule_uniques,Полный день,1
Back-end разработчик Python / Go,key_skills_uniques,ООП,1
Back-end разработчик Python / Go,key_skills_uniques,Golang,1
Back-end разработчик Python / Go,key_skills_uniques,Django Framework,1
Back-end разработчик Python / Go,key_skills_uniques,Linux,1
Back-end разработчик Python / Go,key_skills_uniques,PostgreSQL,1
Back-end разработчик Python / Go,key_skills_uniques,Git,1
Back-end разработчик Python / Go,key_skills_uniques,Python,1
Back-end разработчик Python / Go,key_skills_uniques,SQL,1
Back-end разработчик Python / Go,key_skills_uniques,AWS,1
Back-end разработчик Python / Go,key_skills_uniques,Machine learning,1
Back-end разработчик/Программист GoLang,experience_uniques,От 1 года до 3 лет,1
Back-end разработчик/Программист GoLang,employment_uniques,Полная занятость,1
Back-end разработчик/Программист GoLang,schedule_uniques,Полный день,1
Back-end разработчик/Программист Javascript (Node.JS),experience_uniques,От 1 года до 3 лет,1
Back-end разработчик/Программист Javascript (Node.JS),employment_uniques,Полная занятость,1
Back-end разработчик/Программист Javascript (Node.JS),schedule_uniques,Полный день,1
BackEnd Node.JS developer (middle/senior),salary_from_uniques,0.0,1
BackEnd Node.JS developer (middle/senior),salary_to_uniques,270000.0,1
BackEnd Node.JS developer (middle/senior),experience_uniques,От 3 до 6 лет,1
BackEnd Node.JS developer (middle/senior),employment_uniques,Полная занятость,1
BackEnd Node.JS developer (middle/senior),schedule_uniques,Полный день,1
BackEnd Node.JS developer (middle/senior),key_skills_uniques,Node.js,1
Backend -разработчик,experience_uniques,Более 6 лет,1
Backend -разработчик,employment_uniques,Полная занятость,1
Backend -разработчик,schedule_uniques,Полный день,1
Backend -разработчик,key_skills_uniques,C#,1
Backend -разработчик,key_skills_uniques,WCF,1
Backend -разработчик,key_skills_uniques,SQL,1
Backend -разработчик,key_skills_uniques,.NET Framework,1
Backend -разработчик,key_skills_uniques,ASP.NET,1
"Backend Developer (Python, PostgreSQL)",salary_from_uniques,180000.0,1
"Backend Developer (Python, PostgreSQL)",salary_to_uniques,0.0,1
"Backend Developer (Python, PostgreSQL)",experience_uniques,Более 6 лет,1
"Backend Developer (Python, PostgreSQL)",employment_uniques,Полная занятость,1
"Backend Developer (Python, PostgreSQL)",schedule_uniques,Полный день,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Bootstrap,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Git,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,VueJS,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,RabbitMQ,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Sphinx,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Python,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Celery,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Django Framework,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,PostgreSQL,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,ElasticSearch,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Redis,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Docker,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Apache NiFi,1
"Backend Developer (Python, PostgreSQL)",key_skills_uniques,Product Management,1
Backend Developer PHP,salary_from_uniques,180000.0,1
Backend Developer PHP,salary_to_uniques,250000.0,1
Backend Developer PHP,experience_uniques,От 3 до 6 лет,1
Backend Developer PHP,employment_uniques,Полная занятость,1
Backend Developer PHP,schedule_uniques,Гибкий график,1
Backend Developer PHP,key_skills_uniques,PHP,1
Backend Developer PHP,key_skills_uniques,PostgreSQL,1
Backend Developer PHP,key_skills_uniques,Symfony,1
Backend Developer PHP,key_skills_uniques,Git,1
Backend Developer PHP,key_skills_uniques,ООП,1
"Backend Developer, .NET (Miidle+)",salary_from_uniques,180000.0,1
"Backend Developer, .NET (Miidle+)",salary_to_uniques,0.0,1
"Backend Developer, .NET (Miidle+)",experience_uniques,Более 6 лет,1
"Backend Developer, .NET (Miidle+)",employment_uniques,Полная занятость,1
"Backend Developer, .NET (Miidle+)",schedule_uniques,Полный день,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,ООП,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,MS Visual Studio,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,Entity Framework,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,RabbitMQ,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,MS SQL Server,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,OAuth2,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,C#,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,LINQ,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,.Net Core,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,ASP.NET,1
"Backend Developer, .NET (Miidle+)",key_skills_uniques,JSON API,1
Backend Java разработчик,salary_from_uniques,140000.0,1
Backend Java разработчик,salary_to_uniques,0.0,1
Backend Java разработчик,experience_uniques,От 1 года до 3 лет,1
Backend Java разработчик,employment_uniques,Полная занятость,1
Backend Java разработчик,schedule_uniques,Полный день,1
Backend Java разработчик,key_skills_uniques,Spring Framework,1
Backend Java разработчик,key_skills_uniques,REST,1
Backend Java разработчик,key_skills_uniques,Linux,1
Backend Java разработчик,key_skills_uniques,JDBC,1
Backend Java разработчик,key_skills_uniques,Git,1
Backend Java разработчик,key_skills_uniques,Jenkins,1
Backend developer (Node.js),salary_from_uniques,200000.0,1
Backend developer (Node.js),salary_to_uniques,250000.0,1
Backend developer (Node.js),experience_uniques,От 1 года до 3 лет,1
Backend developer (Node.js),employment_uniques,Полная занятость,1
Backend developer (Node.js),schedule_uniques,Полный день,1
Backend python/Django разработчик,salary_from_uniques,120000.0,1
Backend python/Django разработчик,salary_to_uniques,200000.0,1
Backend python/Django разработчик,experience_uniques,От 1 года до 3 лет,1
Backend python/Django разработчик,employment_uniques,Полная занятость,1
Backend python/Django разработчик,schedule_uniques,Удаленная работа,1
Backend python/Django разработчик,key_skills_uniques,Python,1
Backend python/Django разработчик,key_skills_uniques,Django Framework,1
Backend python/Django разработчик,key_skills_uniques,PostgreSQL,1
Backend python/Django разработчик,key_skills_uniques,Git,1
Backend программист (C#),experience_uniques,От 3 до 6 лет,1
Backend программист (C#),employment_uniques,Полная занятость,1
Backend программист (C#),schedule_uniques,Полный день,1
Backend разработчик,salary_from_uniques,150000.0,1
Backend разработчик,salary_to_uniques,175000.0,1
Backend разработчик,experience_uniques,От 3 до 6 лет,1
Backend разработчик,experience_uniques,От 1 года до 3 лет,1
Backend разработчик,employment_uniques,Полная занятость,2
Backend разработчик,schedule_uniques,Полный день,2
Backend разработчик,key_skills_uniques,MySQL,2
Backend разработчик,key_skills_uniques,Git,2
Backend разработчик,key_skills_uniques,ООП,1
Backend разработчик,key_skills_uniques,Linux,1
Backend разработчик,key_skills_uniques,Symfony,1
Backend разработчик,key_skills_uniques,SQL,1
Backend разработчик,key_skills_uniques,PHP,1
Backend разработчик (.NET),salary_from_uniques,150000.0,1
Backend разработчик (.NET),salary_to_uniques,260000.0,1
Backend разработчик (.NET),experience_uniques,От 3 до 6 лет,1
Backend разработчик (.NET),employment_uniques,Полная занятость,1
Backend разработчик (.NET),schedule_uniques,Гибкий график,1
Backend разработчик C#/.NET,salary_from_uniques,100000.0,1
Backend разработчик C#/.NET,salary_to_uniques,0.0,1
Backend разработчик C#/.NET,experience_uniques,От 1 года до 3 лет,1
Backend разработчик C#/.NET,employment_uniques,Полная занятость,1
Backend разработчик C#/.NET,schedule_uniques,Полный день,1
Backend разработчик C#/.NET,key_skills_uniques,C#,1
Backend разработчик C#/.NET,key_skills_uniques,MySQL,1
Backend разработчик C#/.NET,key_skills_uniques,.NET Framework,1
Backend разработчик C#/.NET,key_skills_uniques,.NET Core,1
Backend разработчик C#/.NET,key_skills_uniques,Git,1
Backend разработчик C#/.NET,key_skills_uniques,NoSQL,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),salary_from_uniques,100000.0,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),salary_to_uniques,120000.0,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),experience_uniques,От 1 года до 3 лет,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),employment_uniques,Полная занятость,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),schedule_uniques,Полный день,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,MongoDB,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,MySQL,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,PHP5,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,Linux,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,Nginx,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,JavaScript,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,PHP,1
Backend разработчик PHP/NodeJS (веб-разработчик/web/программист),key_skills_uniques,Node.js,1
Backend разработчик Python,salary_from_uniques,60000.0,1
Backend разработчик Python,salary_to_uniques,120000.0,1
Backend разработчик Python,experience_uniques,От 3 до 6 лет,1
Backend разработчик Python,employment_uniques,Полная занятость,1
Backend разработчик Python,schedule_uniques,Полный день,1
Backend разработчик Python,key_skills_uniques,Python,1
Backend разработчик Python,key_skills_uniques,Linux,1
Backend разработчик Python,key_skills_uniques,Django Framework,1
Backend разработчик Python,key_skills_uniques,PostgreSQL,1
Backend разработчик Python,key_skills_uniques,MySQL,1
Backend разработчик Python / Django (Middle),salary_from_uniques,80000.0,1
Backend разработчик Python / Django (Middle),salary_to_uniques,120000.0,1
Backend разработчик Python / Django (Middle),experience_uniques,Нет опыта,1
Backend разработчик Python / Django (Middle),employment_uniques,Полная занятость,1
Backend разработчик Python / Django (Middle),schedule_uniques,Полный день,1
Backend разработчик Python / Django (Middle),key_skills_uniques,API,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Linux,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Django Framework,1
Backend разработчик Python / Django (Middle),key_skills_uniques,PostgreSQL,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Django REST Framework,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Redis,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Docker,1
Backend разработчик Python / Django (Middle),key_skills_uniques,Python,1
Backend-разработчик (PHP),salary_from_uniques,175000.0,1
Backend-разработчик (PHP),salary_to_uniques,0.0,1
Backend-разработчик (PHP),experience_uniques,От 3 до 6 лет,1
Backend-разработчик (PHP),employment_uniques,Полная занятость,1
Backend-разработчик (PHP),schedule_uniques,Полный день,1
Backend-разработчик (PHP),key_skills_uniques,RabbitMQ,1
Backend-разработчик (PHP),key_skills_uniques,Yii,1
Backend-разработчик (PHP),key_skills_uniques,Git,1
Backend-разработчик (PHP),key_skills_uniques,Redis,1
Backend-разработчик (PHP),key_skills_uniques,PHP,1
Backend-разработчик (PHP),key_skills_uniques,jQuery,1
Backend-разработчик (PHP),key_skills_uniques,Bootstrap,1
Backend-разработчик (PHP),key_skills_uniques,JavaScript,1
Backend-разработчик (PHP),key_skills_uniques,PostgreSQL,1
Backend-разработчик (PHP),key_skills_uniques,Memcached,1
Backend-разработчик (PHP),key_skills_uniques,PHP7,1
Backend-разработчик (PHP),key_skills_uniques,REST,1
Backend-разработчик (PHP),key_skills_uniques,Yii2,1
Backend-разработчик (Ruby on Rails),experience_uniques,От 1 года до 3 лет,1
Backend-разработчик (Ruby on Rails),employment_uniques,Полная занятость,1
Backend-разработчик (Ruby on Rails),schedule_uniques,Полный день,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,ActiveRecord,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,Rubymine,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,RSpec,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,Ruby On Rails,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,PostgreSQL,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,ElasticSearch,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,Docker,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,CI/CD,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,DelayedJob,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,Ruby,1
Backend-разработчик (Ruby on Rails),key_skills_uniques,React,1
Backend-разработчик C# / Программист C#,experience_uniques,От 3 до 6 лет,1
Backend-разработчик C# / Программист C#,employment_uniques,Полная занятость,1
Backend-разработчик C# / Программист C#,schedule_uniques,Полный день,1
Backend-разработчик C# / Программист C#,key_skills_uniques,C#,1
Backend-разработчик C# / Программист C#,key_skills_uniques,Resharper,1
Backend-разработчик C# / Программист C#,key_skills_uniques,Microsoft Visual Studio,1
Backend-разработчик C# / Программист C#,key_skills_uniques,Git,1
Backend-разработчик PHP,salary_from_uniques,90000.0,1
Backend-разработчик PHP,salary_to_uniques,140000.0,1
Backend-разработчик PHP,experience_uniques,От 1 года до 3 лет,1
Backend-разработчик PHP,employment_uniques,Полная занятость,1
Backend-разработчик PHP,schedule_uniques,Полный день,1
Backend-разработчик PHP,key_skills_uniques,HTML,1
Backend-разработчик PHP,key_skills_uniques,MySQL,1
Backend-разработчик PHP,key_skills_uniques,SQL,1
Backend-разработчик PHP,key_skills_uniques,CSS3,1
Backend-разработчик PHP,key_skills_uniques,PHP7,1
Backend-разработчик PHP,key_skills_uniques,Ubuntu Server,1
Backend-разработчик PHP,key_skills_uniques,PostgreSQL,1
Backend-разработчик PHP,key_skills_uniques,JavaScript,1
Backend-разработчик PHP,key_skills_uniques,PHP5,1
Backend-разработчик PHP,key_skills_uniques,ООП,1
Backend-разработчик PHP,key_skills_uniques,MVC,1
Backend-разработчик PHP,key_skills_uniques,jQuery,1
Backend-разработчик PHP,key_skills_uniques,PHP,1
Backend-разработчик PHP,key_skills_uniques,Debian,1
Backend-разработчик PHP,key_skills_uniques,Git,1
Backend-разработчик PHP,key_skills_uniques,Ajax,1
Backend-разработчик PHP,key_skills_uniques,Linux,1
Backend-разработчик PHP,key_skills_uniques,Bootstrap,1
Backend-разработчик PHP,key_skills_uniques,CSS,1
Backend-разработчик/PHP-разработчик,salary_from_uniques,50000.0,1
Backend-разработчик/PHP-разработчик,salary_to_uniques,100000.0,1
Backend-разработчик/PHP-разработчик,experience_uniques,От 3 до 6 лет,1
Backend-разработчик/PHP-разработчик,employment_uniques,Полная занятость,1
Backend-разработчик/PHP-разработчик,schedule_uniques,Полный день,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,JavaScript,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,Linux,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,Symfony,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,Nginx,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,Git,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,PHP,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,Apache HTTP Server,1
Backend-разработчик/PHP-разработчик,key_skills_uniques,CSS3,1
